Original_Location,Zone_ID,Zone_Name,Locations_in_Zone
藝術學院,1,藝術學院,1
文學院,2,文學院,1
武嶺一村,3,武嶺外面,2
米羅餐廳,3,武嶺外面,2
武嶺二村,4,武嶺裡面,4
武嶺山莊,4,武嶺裡面,4
武嶺四村,4,武嶺裡面,4
武嶺三村,4,武嶺裡面,4
海工館,5,海工館,1
海科院,6,海科院,1
行政大樓,7,行政大樓,2
逸仙館,7,行政大樓,2
國研大樓,8,大門口附近,2
體育館,8,大門口附近,2
運動場區,9,運動場區,1
理工二道,10,理工區,5
機械系,10,理工區,5
環工,10,理工區,5
材料所,10,理工區,5
理工實驗區,10,理工區,5
工學院,11,圖資區,3
圖資大樓區,11,圖資區,3
理工長廊區,11,圖資區,3
翠嶺道,12,翠嶺道,1
B 棟,13,翠亨宿舍東,3
C 棟,13,翠亨宿舍東,3
D 棟,13,翠亨宿舍東,3
E餐,14,翠亨宿舍西,4
F 棟,14,翠亨宿舍西,4
E 棟,14,翠亨宿舍西,4
G 棟,14,翠亨宿舍西,4
理工三道,15,電資附近,7
電資大樓,15,電資附近,7
公車迴轉區,15,電資附近,7
H 棟,15,電資附近,7
萊爾富,15,電資附近,7
翠亨山莊,15,電資附近,7
翠亨宿舍區,15,電資附近,7
L 棟,16,L停附近,4
L停車場,16,L停附近,4
翠亨道,16,L停附近,4
生態步道區,16,L停附近,4
活動中心區,17,活動中心區,2
武嶺門口,17,活動中心區,2
管院橋下機車停車場,18,管停,4
活動橋下,18,管停,4
校警隊前,18,管停,4
外環道,18,管停,4
全家橋下通道,19,管院,2
管院,19,管院,2
社管學院區,20,社科院,3
落日大道,20,社科院,3
社院,20,社科院,3
生科館後,21,生科附近,2
光電所後,21,生科附近,2
理工一道,22,理學院,4
理學院,22,理學院,4
化學館,22,理學院,4
物理館,22,理學院,4
