Location,Latitude,Longitude
生科館後,22.626453,120.267398
L 棟,22.628045,120.268660
行政大樓,22.625184,120.265949
海工館,22.628569,120.262692
社管學院區,22.626574,120.265312
管院橋下機車停車場,22.627841,120.264568
理工三道,22.627541,120.267291
理工二道,22.626891,120.266779
藝術學院,22.634170,120.262068
機械系,22.627371,120.266738
國研大樓,22.624210,120.266219
電資大樓,22.627266,120.267751
理工一道,22.626376,120.266640
E餐,22.628473,120.267607
落日大道,22.626109,120.264972
F 棟,22.628801,120.267707
海科院,22.630390,120.262269
活動橋下,22.627841,120.264568
文學院,22.634069,120.260836
理學院,22.626030,120.266560
社院,22.626101,120.265293
工學院,22.627144,120.266328
圖資大樓區,22.627694,120.265886
全家橋下通道,22.627666,120.264983
體育館,22.624599,120.265969
活動中心區,22.628507,120.265264
L停車場,22.627473,120.268414
翠嶺道,22.628694,120.266456
武嶺一村,22.629158,120.264134
武嶺二村,22.629855,120.263707
E 棟,22.628754,120.267330
運動場區,22.623382,120.264165
校警隊前,22.627841,120.264568
B 棟,22.628663,120.268696
米羅餐廳,22.629419,120.263891
理工長廊區,22.627265,120.266065
公車迴轉區,22.627266,120.267751
環工,22.627531,120.266759
C 棟,22.628912,120.268493
化學館,22.626658,120.266820
外環道,22.627851,120.264271
H 棟,22.627715,120.267916
武嶺山莊,22.630168,120.263889
物理館,22.6264481,120.2669345
逸仙館,22.6249577,120.2656433
管院,22.6272528,120.2650041
材料所,22.6269075,120.2668919
理工實驗區,22.6270874,120.2667515
翠亨道,22.627997,120.268236
萊爾富,22.6274869,120.2679079
武嶺門口,22.628882,120.264516
G 棟,22.629051,120.268009
武嶺四村,22.630244,120.264182
武嶺三村,22.630526,120.263693
生態步道區,22.627160,120.268494
D 棟,22.628854,120.268498
光電所後,22.626623,120.267311
翠亨山莊,22.6278866,120.267652
翠亨宿舍區,22.6278866,120.267652
