Zone_ID,Zone_Name,Locations
1,藝術學院,藝術學院
2,文學院,文學院
3,武嶺外面,"武嶺一村, 米羅餐廳"
4,武嶺裡面,"武嶺二村, 武嶺山莊, 武嶺四村, 武嶺三村"
5,海工館,海工館
6,海科院,海科院
7,行政大樓,"行政大樓, 逸仙館"
8,大門口附近,"國研大樓, 體育館"
9,運動場區,運動場區
10,理工區,"理工二道, 機械系, 環工, 材料所, 理工實驗區"
11,圖資區,"工學院, 圖資大樓區, 理工長廊區"
12,翠嶺道,翠嶺道
13,翠亨宿舍東,"B 棟, C 棟, D 棟"
14,翠亨宿舍西,"E餐, F 棟, E 棟, G 棟"
15,電資附近,"理工三道, 電資大樓, 公車迴轉區, H 棟, 萊爾富, 翠亨山莊, 翠亨宿舍區"
16,L停附近,"L 棟, L停車場, 翠亨道, 生態步道區"
17,活動中心區,"活動中心區, 武嶺門口"
18,管停,"管院橋下機車停車場, 活動橋下, 校警隊前, 外環道"
19,管院,"全家橋下通道, 管院"
20,社科院,"社管學院區, 落日大道, 社院"
21,生科附近,"生科館後, 光電所後"
22,理學院,"理工一道, 理學院, 化學館, 物理館"
